DocI	tf
7	3
16	1
17	1
21	1
24	1
26	1
28	1
31	1
33	1
37	1
44	4
45	2
47	1
48	1
49	1
53	1
56	1
58	1
61	2
66	2
70	1
74	2
75	2
79	1
81	1
92	3
95	1
112	1
116	1
119	1
122	1
128	1
129	2
130	1
2	3
4	1
9	1
10	2
11	1
17	1
21	1
22	1
26	1
28	1
31	1
36	1
38	1
43	1
47	2
49	3
57	1
60	1
63	2
70	2
71	4
77	1
78	3
79	1
80	1
85	2
89	2
92	2
102	1
103	2
105	1
106	1
107	1
108	1
109	1
113	3
118	2
121	1
124	5
130	1
70	1
45	1
75	1
80	1
6	1
17	1
19	1
21	2
22	3
27	3
31	2
45	7
47	1
49	1
55	1
56	3
60	3
62	1
63	1
67	1
69	1
74	1
75	2
81	1
84	2
87	1
94	1
96	1
103	1
120	2
124	1
129	1
8	1
26	1
56	1
75	2
83	1
119	1
124	1
2	1
8	1
11	1
12	1
13	1
18	1
24	1
26	2
28	2
40	1
44	1
47	1
49	1
53	1
58	1
60	2
64	1
65	1
69	1
73	1
74	1
75	1
79	1
95	1
102	1
103	1
109	1
113	1
119	2
124	2
127	1
3	1
4	1
45	1
49	1
60	2
75	1
94	1
95	1
106	1
110	1
113	1
6	1
56	1
57	2
127	1
26	2
64	1
69	1
89	1
98	1
113	2
114	1
2	1
18	1
27	1
30	1
34	1
49	2
52	1
69	2
95	1
101	1
119	1
122	1
5	1
110	2
4	1
7	1
16	1
23	1
95	1
121	1
124	1
61	1
44	1
70	1
115	1
58	1
23	1
4	1
57	3
89	1
95	2
60	1
77	1
12	1
20	1
64	1
79	1
83	1
87	1
92	1
95	1
112	1
113	1
7	1
122	1
18	1
45	1
62	1
72	1
6	1
16	1
36	1
49	1
75	1
122	2
16	3
60	1
68	1
72	1
113	1
98	1
9	1
21	1
46	1
56	1
97	1
99	6
101	1
118	1
122	4
129	1
130	2
62	1
50	1
58	1
84	1
111	1
24	1
68	1
58	1
94	1
57	1
11	2
65	1
69	1
94	1
6	2
8	1
63	1
66	1
79	1
84	1
95	1
104	1
124	1
49	1
87	1
47	1
30	1
113	1
124	1
120	1
7	1
30	1
30	1
68	1
7	1
8	1
12	1
17	1
21	1
23	2
24	2
27	1
28	2
30	1
33	1
36	1
37	1
39	1
40	2
43	1
45	1
47	1
49	3
50	1
53	3
57	1
58	1
60	2
65	2
66	3
68	2
69	1
70	3
74	1
79	1
80	3
81	1
83	1
84	1
85	1
86	1
89	1
90	1
93	1
97	3
99	3
103	1
105	1
108	1
109	1
112	1
115	1
117	1
118	1
119	2
120	2
122	3
124	1
128	1
129	1
2	1
27	1
36	1
39	1
4	1
48	1
77	1
87	1
119	1
3	2
6	2
7	1
16	5
24	1
26	1
30	4
37	1
40	1
60	4
63	2
80	1
81	1
85	1
96	1
104	2
107	1
117	1
124	3
2	1
18	1
23	1
24	2
40	1
42	1
67	1
84	2
85	1
90	1
92	1
104	1
105	2
122	1
129	1
16	1
21	1
38	1
60	1
63	1
66	1
77	1
97	1
99	1
110	1
118	2
122	1
127	1
128	2
26	1
38	2
56	1
64	2
65	2
66	1
70	1
85	2
119	2
120	1
124	1
81	1
80	1
28	1
19	1
40	1
46	1
48	1
49	1
80	1
105	1
111	1
120	1
128	1
34	1
7	1
8	1
99	1
81	1
111	1
57	1
86	1
103	1
22	1
36	1
107	2
48	1
49	1
79	5
81	1
96	1
101	1
104	1
129	1
22	1
36	1
102	1
103	1
122	1
127	1
113	1
6	1
20	1
21	1
26	1
27	1
40	1
42	1
43	1
44	1
47	1
48	1
49	1
50	1
57	1
58	1
70	1
73	1
74	1
80	1
81	1
83	1
84	1
87	1
88	1
89	1
90	1
